Overall Qual,Overall Cond,House Age,Restore Age,Full Bath,TotRms AbvGrd,Fireplaces,Garage Cars,Transformed Lot Frontage,Transformed Mas Vnr Area,Transformed BsmtFin SF 1,Transformed Bsmt Unf SF,Transformed Total Bsmt SF,Transformed Garage Area,Transformed Lot Area,Transformed 1st Flr SF,Transformed 2nd Flr SF,Transformed Gr Liv Area,Transformed Open Porch SF,MS SubClass_60,Mas Vnr Type_None,Foundation_CBlock,Foundation_PConc,Garage Type_Attchd,Garage Type_Detchd,Exter Qual_encoded,Bsmt Qual_encoded,Heating QC_encoded,Kitchen Qual_encoded,Fireplace Qu_encoded,Bsmt Exposure_encoded,BsmtFin Type 1_encoded,Garage Finish_encoded,Garage Age
1,1,103,75,0,4,0,0,4.19,0.0,5.86,5.81,6.53,0.0,9.21,6.81,0.0,6.81,0.0,0,1,0,0,0,0,2,2,4,2,0,4,4,0,0
6,6,100,75,2,6,0,1,4.01,0.0,6.31,4.8,6.51,5.71,8.8,6.55,6.51,7.22,0.0,0,1,0,0,0,1,3,3,3,3,0,1,4,1,95
5,3,91,75,2,6,0,1,4.11,0.0,0.0,6.37,6.37,5.42,9.19,6.53,6.05,7.01,0.0,0,1,0,1,0,1,3,3,3,3,0,1,1,1,91
5,6,62,26,2,6,1,2,4.26,0.0,6.1,4.34,6.26,6.18,9.46,7.29,0.0,7.29,0.0,0,1,1,0,1,0,3,4,5,3,3,3,5,2,28
5,6,62,62,1,5,0,2,4.39,0.0,6.48,6.15,7.02,6.18,9.08,7.02,0.0,7.02,4.39,0,1,0,1,0,1,3,3,3,3,0,1,3,1,62
6,5,47,47,2,7,1,2,4.26,4.53,5.42,5.26,6.82,6.09,9.32,6.82,6.64,7.43,0.0,1,0,1,0,1,0,3,3,4,3,3,1,2,2,47
5,6,58,58,1,6,1,1,4.33,5.15,6.27,6.27,6.96,6.51,9.36,6.96,0.0,6.96,5.38,0,0,1,0,1,0,3,3,3,3,1,1,4,3,41
5,7,58,21,1,5,0,1,4.19,4.5,6.11,6.03,6.76,5.67,8.96,6.8,0.0,6.8,0.0,0,0,0,1,1,0,3,3,5,4,0,1,5,3,58
6,5,47,47,1,5,1,2,3.75,3.18,6.12,0.0,6.12,6.22,8.99,6.94,0.0,6.94,0.0,0,0,1,0,0,0,3,4,3,3,2,4,6,3,47
5,5,43,43,1,5,0,2,3.75,0.0,6.53,5.16,6.76,6.36,8.89,6.76,0.0,6.76,0.0,0,1,1,0,0,1,3,4,3,3,0,3,6,1,42
5,6,43,43,1,4,0,2,4.32,0.0,6.51,5.13,6.73,6.27,9.08,6.76,0.0,6.76,0.0,0,1,1,0,0,1,3,3,3,3,0,3,5,1,29
5,5,63,63,1,6,1,1,4.28,4.76,5.14,5.53,7.0,5.67,9.36,7.0,0.0,7.0,3.04,0,0,1,0,1,0,3,3,3,3,1,1,2,1,63
5,5,64,64,2,8,1,1,4.49,0.0,0.0,6.32,6.32,5.95,9.64,6.81,6.42,7.48,3.71,0,1,1,0,1,0,3,3,3,3,3,1,1,1,64
6,5,65,65,1,6,1,2,4.49,4.01,6.38,6.31,7.04,6.18,9.64,7.04,0.0,7.04,0.0,0,0,1,0,1,0,3,3,5,3,3,3,4,2,65
5,5,69,69,1,9,1,1,4.39,5.91,0.0,6.72,6.72,5.82,9.65,7.64,0.0,7.64,3.37,0,0,1,0,1,0,3,3,5,3,3,2,1,1,69
2,2,78,75,1,5,0,0,4.39,0.0,0.0,0.0,0.0,0.0,9.11,6.49,0.0,6.49,0.0,0,1,0,0,0,0,3,0,2,2,0,0,0,0,0
4,5,68,36,1,8,2,1,4.39,0.0,0.0,7.01,7.01,5.72,9.33,7.01,6.53,7.49,0.0,0,1,1,0,1,0,3,3,5,3,3,3,1,1,68
5,8,57,22,1,5,2,1,4.19,0.0,7.19,4.74,7.27,6.12,10.13,7.3,0.0,7.3,3.89,0,1,1,0,1,0,3,3,5,5,4,4,6,1,57
4,6,69,69,1,6,0,1,4.19,0.0,6.97,4.33,7.03,5.65,9.75,7.11,0.0,7.11,0.0,0,1,1,0,1,0,3,3,5,3,0,1,5,2,69
4,5,85,75,1,4,0,2,4.19,0.0,5.57,6.4,6.76,6.29,9.42,6.76,0.0,6.76,0.0,0,1,1,0,0,1,3,3,5,3,0,1,4,1,64
5,5,70,32,1,7,3,1,4.39,0.0,5.94,6.15,7.39,5.72,9.28,7.53,0.0,7.53,0.0,0,1,1,0,1,0,4,3,5,3,4,1,2,3,70
3,5,70,70,2,8,1,2,3.66,0.0,0.0,0.0,0.0,6.12,9.52,7.46,0.0,7.46,0.0,0,1,0,0,1,0,3,0,5,3,4,0,0,1,70
4,5,71,71,1,6,0,2,3.66,0.0,0.0,0.0,0.0,6.21,9.66,7.23,0.0,7.23,0.0,0,1,1,0,1,0,3,0,3,3,0,0,0,1,45
6,5,69,69,1,7,1,2,4.3,0.0,0.0,7.27,7.27,6.18,9.2,7.43,0.0,7.43,0.0,0,1,1,0,1,0,3,3,2,3,4,1,1,1,69
5,5,69,69,1,5,0,1,4.23,0.0,5.55,6.71,6.98,5.83,9.17,6.98,0.0,6.98,0.0,0,1,1,0,1,0,3,3,3,3,0,1,3,1,69
5,3,67,67,1,5,0,1,4.23,0.0,0.0,7.15,7.15,5.86,9.17,7.15,0.0,7.15,0.0,0,1,1,0,1,0,3,3,3,3,0,1,1,1,67
6,7,79,75,1,6,1,1,3.93,0.0,5.84,6.01,6.62,5.48,9.14,6.79,6.62,7.4,3.93,1,1,1,0,0,1,3,3,5,4,4,1,4,1,79
4,6,84,75,1,4,0,1,3.93,0.0,5.84,5.8,6.51,5.46,9.14,6.51,0.0,6.51,4.74,0,1,1,0,1,0,3,3,3,3,0,1,3,1,84
5,6,71,71,1,5,1,1,4.14,0.0,5.16,6.82,6.99,5.53,8.91,6.99,0.0,6.99,0.0,0,1,1,0,0,1,3,4,3,3,4,1,4,2,71
4,3,68,68,1,5,0,1,3.66,0.0,0.0,0.0,0.0,5.67,9.35,6.74,0.0,6.74,0.0,0,1,0,0,0,1,3,0,5,3,0,0,0,1,68
5,5,41,41,2,5,0,1,3.76,5.01,6.32,4.65,6.96,5.59,8.35,6.96,0.0,6.96,4.66,0,0,1,0,1,0,4,4,3,4,0,2,6,3,41
5,4,76,17,1,8,1,1,4.11,0.0,5.68,6.17,6.65,5.64,9.34,7.05,6.34,7.45,0.0,0,1,1,0,1,0,3,3,4,3,4,1,2,1,76
6,5,86,75,1,6,0,1,4.11,0.0,5.32,5.88,6.33,5.64,9.11,6.55,6.33,7.14,0.0,0,1,0,0,0,1,3,3,3,3,0,2,3,1,86
4,5,85,75,1,7,1,1,4.11,0.0,0.0,6.63,6.63,5.69,9.11,6.63,6.63,7.32,0.0,0,1,1,0,0,1,3,3,3,3,4,2,1,1,85
7,6,35,34,1,4,0,2,4.32,0.0,6.13,5.73,6.96,6.14,9.29,6.97,0.0,6.97,3.61,0,1,0,1,1,0,4,4,4,4,0,1,6,1,35
6,5,42,42,1,5,1,2,4.2,4.62,4.26,0.0,6.26,6.36,9.87,7.2,0.0,7.2,0.0,0,0,1,0,1,0,4,4,4,4,1,3,3,1,42
8,8,42,16,1,5,1,2,4.38,0.0,7.27,4.03,7.31,6.42,9.42,7.31,6.46,7.67,3.71,0,1,1,0,0,0,4,4,5,4,4,4,6,3,42
7,7,35,34,2,7,1,3,4.51,5.46,6.19,7.31,7.68,6.55,9.59,7.69,0.0,7.69,4.26,0,0,1,0,1,0,4,4,4,4,3,2,5,2,35
7,5,32,32,2,7,1,2,4.33,4.93,6.24,5.43,6.61,6.05,9.14,6.91,6.65,7.48,4.29,1,0,0,1,1,0,4,4,5,4,3,1,5,1,32
7,5,32,31,2,8,1,2,4.45,0.0,6.16,6.41,6.98,6.16,9.26,6.98,6.69,7.54,4.62,1,1,0,1,1,0,4,4,5,4,3,1,6,2,32
8,5,30,30,2,8,1,2,4.39,0.0,6.37,6.3,7.03,6.15,9.19,7.04,6.78,7.61,5.05,1,1,0,1,1,0,4,4,5,4,3,1,6,2,30
5,7,145,18,1,7,1,2,4.8,0.0,0.0,0.0,0.0,6.36,10.18,7.16,6.59,7.61,0.0,0,1,0,1,1,0,4,0,5,3,3,0,0,1,125
5,5,46,46,2,8,0,2,4.17,0.0,0.0,0.0,0.0,6.02,8.86,7.34,0.0,7.34,0.0,0,1,0,0,1,0,3,0,3,3,0,0,0,1,46
5,5,46,46,0,6,2,2,4.17,5.62,6.99,0.0,6.99,6.27,8.86,7.11,0.0,7.11,0.0,0,0,1,0,0,1,3,4,3,3,3,3,6,1,46
5,5,46,46,2,8,0,2,4.17,0.0,0.0,0.0,0.0,6.58,8.86,7.02,7.02,7.71,0.0,0,1,0,0,0,1,3,0,3,3,0,0,0,1,46
5,5,46,46,2,8,0,2,4.17,0.0,0.0,0.0,0.0,5.99,8.86,7.34,0.0,7.34,0.0,0,1,0,0,1,0,3,0,3,3,0,0,0,1,46
5,5,46,46,2,8,0,2,4.17,0.0,0.0,0.0,0.0,5.99,8.86,7.34,0.0,7.34,0.0,0,1,0,0,1,0,3,0,3,3,0,0,0,1,46
5,5,46,46,2,12,0,2,4.17,0.0,0.0,0.0,0.0,6.27,8.86,7.02,7.02,7.71,0.0,0,1,0,0,0,1,3,0,3,3,0,0,0,1,46
5,5,46,46,0,6,2,2,4.17,5.38,7.0,0.0,7.0,6.51,8.86,7.11,0.0,7.11,0.0,0,0,1,0,0,1,3,4,3,4,3,3,6,1,46
5,5,46,46,2,8,0,2,4.17,0.0,0.0,0.0,0.0,5.99,8.85,7.32,0.0,7.32,0.0,0,1,0,0,1,0,3,0,3,3,0,0,0,1,46
7,5,25,25,4,8,2,4,4.19,3.18,6.71,5.86,7.06,6.71,9.38,7.06,7.39,7.93,0.0,0,0,0,1,0,0,3,5,5,3,3,1,6,3,25
7,5,25,25,4,8,2,4,4.19,3.18,6.71,5.86,7.06,6.71,8.98,7.06,7.39,7.93,0.0,0,0,0,1,0,0,3,5,5,3,3,1,6,3,25
7,5,25,25,4,8,2,4,4.19,3.18,6.71,5.86,7.06,6.71,8.98,7.06,7.39,7.93,0.0,0,0,0,1,0,0,3,5,5,3,3,1,6,3,25
9,5,16,16,1,8,1,3,4.44,5.49,6.93,6.28,7.35,7.04,9.3,7.43,0.0,7.43,3.22,0,0,0,1,1,0,5,5,5,5,4,4,6,3,16
8,5,18,17,2,7,1,3,4.38,5.82,7.16,6.04,7.44,6.72,9.27,7.45,0.0,7.45,3.81,0,0,0,1,1,0,4,5,5,4,4,4,6,2,18
8,5,17,17,2,8,1,3,4.13,5.6,0.0,7.39,7.39,6.76,9.23,7.4,0.0,7.4,3.76,0,0,0,1,1,0,4,5,5,5,4,4,1,2,17
9,5,17,17,2,8,1,3,4.19,5.9,7.01,6.42,7.45,6.74,9.29,7.45,0.0,7.45,4.65,0,0,0,1,1,0,5,5,5,5,4,4,6,2,17
8,5,17,17,2,6,1,3,4.28,0.0,0.0,7.29,7.29,6.81,9.12,7.29,0.0,7.29,4.96,0,1,0,1,1,0,4,4,5,4,4,3,1,2,17
8,5,18,18,2,7,0,2,4.23,0.0,3.04,6.74,6.77,6.36,9.28,6.77,6.81,7.48,4.66,1,1,0,1,1,0,4,4,5,4,0,3,6,2,18
8,5,18,17,2,7,2,2,4.36,5.87,7.22,6.17,7.52,6.26,9.34,7.52,0.0,7.52,5.41,0,0,0,1,1,0,4,5,5,4,4,3,6,2,18
9,5,18,18,2,7,0,2,4.81,0.0,0.0,7.5,7.5,6.56,9.39,7.5,0.0,7.5,4.92,0,1,0,1,1,0,4,5,5,5,0,1,1,3,18
7,5,19,19,2,8,1,2,4.23,5.2,7.2,5.6,7.38,6.49,9.08,7.38,0.0,7.38,4.71,0,0,0,1,1,0,4,4,5,4,4,1,6,2,19
7,5,18,18,2,6,1,2,4.17,0.0,6.81,5.94,7.16,6.5,8.82,7.16,0.0,7.16,0.0,0,1,0,1,1,0,4,4,5,4,4,3,6,2,18
8,5,17,17,2,5,0,3,4.56,4.95,6.77,5.95,7.13,6.7,9.24,7.13,0.0,7.13,4.53,0,0,0,1,1,0,4,4,5,4,0,3,6,2,17
7,5,18,18,2,6,0,2,4.17,4.42,6.59,6.23,7.12,6.45,8.9,7.12,0.0,7.12,0.0,0,0,0,1,1,0,4,4,5,4,0,3,6,2,18
8,5,20,19,2,7,1,3,4.37,4.34,3.22,7.3,7.31,6.74,9.36,7.31,0.0,7.31,4.6,0,0,0,1,1,0,4,5,5,4,4,4,6,3,20
6,5,20,19,2,7,1,2,4.38,0.0,0.0,6.56,6.56,6.09,9.36,6.56,6.58,7.26,3.37,1,1,0,1,1,0,4,4,5,4,4,3,1,3,20
7,5,36,36,2,5,1,2,4.19,4.98,7.33,0.0,7.33,6.35,9.46,7.41,0.0,7.41,0.0,0,0,0,1,1,0,4,4,4,4,3,4,6,3,36
7,5,33,32,2,7,1,2,4.36,0.0,6.69,6.48,7.28,6.27,9.72,6.85,6.7,7.47,5.27,1,1,0,1,1,0,4,4,4,4,3,3,6,1,33
5,5,58,58,2,7,0,2,4.36,0.0,5.52,0.0,6.92,6.29,10.26,7.06,6.87,7.66,0.0,1,1,0,1,1,0,3,3,3,3,0,4,2,3,58
5,5,29,29,1,6,0,2,4.42,0.0,6.6,5.73,6.95,6.36,9.43,6.95,0.0,6.95,0.0,0,1,0,1,0,1,3,4,4,4,0,1,6,1,25
5,7,31,31,1,5,0,1,4.19,0.0,6.63,5.46,6.9,6.09,9.19,6.9,0.0,6.9,0.0,0,1,0,1,1,0,3,3,5,3,0,1,5,2,30
6,5,28,28,2,7,0,2,4.19,0.0,6.71,4.68,6.83,6.15,9.64,6.83,6.73,7.48,4.61,1,1,0,1,1,0,3,4,5,4,0,1,6,2,28
7,6,29,29,2,6,1,2,3.78,0.0,5.96,4.26,6.68,6.31,9.28,6.72,6.73,7.42,4.13,1,1,0,1,1,0,4,4,5,4,3,3,6,2,29
7,5,27,27,2,5,0,2,4.19,0.0,6.86,6.24,7.29,6.29,9.6,7.29,0.0,7.29,4.41,0,1,0,1,1,0,3,4,5,3,0,2,6,3,27
5,5,31,30,1,6,0,2,4.73,0.0,0.0,7.0,7.0,6.51,9.29,7.0,0.0,7.0,4.17,0,1,0,1,1,0,3,4,5,3,0,1,1,1,30
5,5,31,30,1,5,0,2,4.11,0.0,6.62,5.5,6.9,6.18,9.0,6.9,0.0,6.9,4.17,0,1,0,1,0,1,3,4,5,3,0,1,5,1,25
7,5,27,27,2,6,0,2,4.39,0.0,0.0,6.77,6.77,6.3,9.25,6.77,6.82,7.48,3.61,1,1,0,1,1,0,3,4,5,4,0,3,1,2,27
7,5,26,26,2,6,0,2,4.37,5.21,6.52,6.7,7.31,6.36,9.24,7.31,0.0,7.31,3.4,0,0,0,1,1,0,4,4,5,4,0,4,6,2,26
7,5,26,26,2,6,0,2,4.23,0.0,6.33,6.77,7.27,6.5,9.11,7.27,0.0,7.27,3.58,0,1,0,1,1,0,4,4,5,4,0,3,6,3,26
6,5,27,27,2,7,1,2,4.26,4.8,6.41,5.78,6.83,6.2,9.08,6.83,6.74,7.48,4.57,1,0,0,1,1,0,3,4,5,3,3,1,6,2,27
7,5,23,23,2,7,0,2,4.23,4.56,0.0,6.72,6.72,6.2,9.1,6.72,6.72,7.42,4.23,1,0,0,1,1,0,4,4,5,4,0,1,1,2,23
7,5,23,23,2,6,0,2,4.22,4.71,6.67,6.67,7.36,6.3,9.19,7.36,0.0,7.36,4.29,0,0,0,1,1,0,4,4,5,4,0,1,6,2,23
7,5,24,24,2,6,0,2,4.38,0.0,6.5,5.63,6.85,6.43,9.43,6.85,6.8,7.52,3.83,1,1,0,1,1,0,4,4,5,4,0,1,6,2,24
7,5,24,23,2,6,0,2,4.22,0.0,0.0,7.25,7.25,6.41,9.7,7.27,0.0,7.27,3.53,0,1,0,1,1,0,4,4,5,4,0,1,1,2,24
7,5,23,24,2,6,0,2,4.19,4.23,7.14,5.15,7.27,6.36,9.28,7.28,0.0,7.28,3.71,0,0,0,1,1,0,4,4,5,4,0,1,6,2,23
7,5,24,24,2,6,1,2,4.33,5.2,3.22,7.29,7.31,6.41,9.32,7.31,0.0,7.31,4.74,0,0,0,1,1,0,4,4,5,4,3,2,6,2,24
5,5,47,47,2,5,0,0,4.11,4.92,6.42,6.05,6.95,0.0,9.04,6.95,0.0,6.95,0.0,0,0,1,0,0,0,3,4,3,3,0,1,3,0,0
5,5,47,47,1,5,0,1,3.82,4.34,6.44,5.65,6.81,5.84,9.7,6.81,0.0,6.81,0.0,0,0,0,0,1,0,3,4,3,3,0,3,6,1,47
5,7,46,46,1,5,0,2,4.34,3.71,6.57,4.89,6.82,6.1,8.85,6.82,0.0,6.82,0.0,0,0,1,0,1,0,3,3,3,3,0,1,5,1,46
5,7,48,17,2,5,0,2,4.13,0.0,6.28,5.9,6.95,6.18,9.08,6.95,0.0,6.95,0.0,0,1,1,0,0,1,3,4,3,4,0,2,2,1,48
5,8,47,20,1,6,0,1,3.82,4.51,6.47,5.39,6.76,5.82,8.85,6.76,0.0,6.76,0.0,0,0,1,0,1,0,4,3,5,3,0,1,5,1,47
5,7,48,36,1,5,0,1,3.82,0.0,5.28,6.98,7.15,5.53,9.14,7.15,0.0,7.15,0.0,0,1,1,0,0,1,3,4,3,4,0,3,5,1,47
5,6,53,53,1,5,1,1,3.61,0.0,6.13,6.0,6.76,5.83,9.65,6.76,0.0,6.76,0.0,0,1,1,0,1,0,3,3,5,3,2,3,4,1,53
5,5,53,53,1,6,0,2,4.11,0.0,6.66,4.77,6.8,6.4,8.88,6.8,0.0,6.8,0.0,0,1,1,0,0,1,3,3,3,3,0,3,3,2,40
5,8,53,22,1,5,0,1,4.11,0.0,6.49,4.69,6.65,5.98,8.88,6.65,0.0,6.65,0.0,0,1,1,0,0,1,3,4,4,3,0,3,6,3,51
5,7,53,18,1,5,0,2,4.26,0.0,6.49,4.73,6.65,5.98,9.04,6.65,0.0,6.65,0.0,0,1,1,0,0,1,3,4,3,3,0,3,6,1,37
7,5,23,23,2,6,0,3,4.51,0.0,7.12,5.82,7.36,7.12,9.36,7.39,0.0,7.39,4.54,0,1,0,1,1,0,4,4,5,4,0,3,6,2,23
8,5,22,22,2,8,1,2,4.26,5.29,0.0,6.97,6.97,6.35,9.42,6.97,7.02,7.69,4.89,1,0,0,1,0,0,4,4,5,4,4,3,1,2,22
8,5,24,24,2,7,1,2,4.26,0.0,0.0,7.47,7.47,6.26,9.38,7.49,0.0,7.49,5.02,0,1,0,1,1,0,4,4,5,5,3,3,1,2,24
8,5,24,24,2,7,1,2,4.26,4.69,6.9,5.74,7.17,6.28,9.38,7.17,6.35,7.54,4.81,1,0,0,1,0,0,4,4,5,5,3,3,6,2,24
9,5,25,25,2,8,2,3,4.26,5.32,6.81,6.29,7.27,6.6,9.31,7.3,6.52,7.68,4.96,1,0,0,1,1,0,4,5,5,5,5,2,6,3,25
7,5,23,23,2,6,0,2,4.26,0.0,0.0,6.73,6.73,6.31,9.08,6.73,6.79,7.45,3.89,1,1,0,1,1,0,4,4,5,4,0,1,1,2,23
7,5,24,24,2,6,0,2,4.51,0.0,0.0,6.85,6.85,6.41,9.33,6.85,6.83,7.53,3.78,1,1,0,1,1,0,4,4,5,4,0,1,1,2,24
8,5,26,25,2,5,1,2,4.51,5.56,7.13,5.38,7.29,6.26,9.66,7.32,0.0,7.32,3.56,0,0,0,1,1,0,4,4,5,4,3,4,6,3,26
7,5,29,29,2,6,1,2,4.3,5.28,6.54,6.7,7.32,6.17,9.38,7.32,0.0,7.32,4.2,0,0,0,1,1,0,4,4,5,4,3,4,6,3,29
8,5,23,22,2,7,1,2,4.26,5.11,7.22,6.14,7.51,6.26,9.46,7.51,0.0,7.51,4.98,0,0,0,1,1,0,4,5,5,4,4,4,6,3,23
7,5,28,27,2,7,1,2,4.26,5.35,7.01,5.73,7.26,6.24,9.08,7.26,0.0,7.26,0.0,0,0,0,1,1,0,4,4,5,4,3,3,6,1,28
7,5,28,27,2,8,0,2,4.26,6.35,6.61,5.77,6.96,6.47,9.15,6.96,6.89,7.62,3.61,1,0,0,1,1,0,3,4,5,4,0,1,6,2,27
7,5,29,29,2,7,1,2,4.26,0.0,0.0,6.78,6.78,6.24,9.08,6.81,6.69,7.45,4.8,1,1,0,1,1,0,4,4,5,4,3,1,1,2,29
7,5,24,24,2,6,0,2,4.26,0.0,0.0,7.1,7.1,6.35,9.12,7.1,0.0,7.1,0.0,0,1,0,1,1,0,4,4,5,4,0,1,1,2,24
7,5,25,24,2,6,1,2,4.33,5.15,0.0,7.4,7.4,6.11,9.19,7.4,0.0,7.4,5.46,0,0,0,1,1,0,4,4,5,4,3,1,1,1,25
6,5,22,21,1,4,0,2,3.64,5.14,6.53,5.1,6.74,6.04,8.4,6.74,0.0,6.74,0.0,0,0,0,1,1,0,4,4,5,4,0,3,6,3,22
6,5,22,22,1,4,0,2,3.64,5.14,6.53,5.1,6.74,6.04,8.4,6.74,0.0,6.74,0.0,0,0,0,1,1,0,4,4,5,4,0,3,6,3,22
8,5,18,18,2,7,1,3,4.45,5.2,7.3,4.62,7.36,6.7,9.23,7.38,0.0,7.38,3.89,0,0,0,1,1,0,4,4,5,4,4,3,6,2,18
7,5,21,21,2,7,0,2,4.19,0.0,0.0,6.76,6.76,6.35,9.14,6.76,6.76,7.46,4.04,1,1,0,1,1,0,4,4,5,4,0,1,1,2,21
7,5,21,21,2,6,0,2,4.16,5.35,3.04,7.3,7.31,6.35,9.05,7.31,0.0,7.31,3.61,0,0,0,1,1,0,4,4,5,4,0,3,6,2,21
6,5,20,20,2,7,0,2,4.17,0.0,5.27,6.3,6.61,6.29,9.06,6.61,6.61,7.3,3.58,1,1,0,1,1,0,4,4,5,4,0,1,6,3,20
6,5,18,18,2,6,1,2,4.45,0.0,0.0,6.41,6.41,6.09,9.31,6.41,6.67,7.24,3.61,1,1,0,1,0,0,4,4,5,4,4,1,1,3,18
4,5,76,22,2,5,0,2,4.22,0.0,0.0,0.0,0.0,6.26,9.08,7.03,0.0,7.03,4.57,0,1,1,0,0,1,3,0,5,4,0,0,0,3,23
5,7,61,26,1,7,0,2,4.33,0.0,6.46,6.75,7.3,6.18,9.2,7.3,0.0,7.3,0.0,0,1,0,1,0,1,3,3,5,3,0,1,4,3,57
4,6,87,67,1,3,1,1,4.22,0.0,6.54,4.84,6.71,5.67,9.09,6.71,0.0,6.71,0.0,0,1,1,0,0,1,3,3,5,3,4,2,5,1,67
7,5,22,22,3,7,1,2,4.17,6.22,0.0,0.0,0.0,6.51,8.9,6.21,7.26,7.56,0.0,0,0,0,0,0,0,4,0,5,4,5,0,0,2,22
6,6,48,48,1,6,0,2,4.33,4.95,6.28,5.05,6.54,6.09,8.98,6.55,6.59,7.26,0.0,1,0,1,0,1,0,3,3,3,3,0,1,4,3,48
4,6,65,54,1,7,0,1,4.39,0.0,5.99,6.42,6.92,6.3,9.28,7.05,0.0,7.05,5.48,0,1,1,0,0,0,3,3,3,3,0,1,6,3,57
6,6,49,49,1,6,1,1,4.29,5.55,6.45,6.02,6.95,5.87,8.88,7.03,0.0,7.03,0.0,0,0,1,0,0,1,3,3,5,3,2,3,5,1,48
9,5,18,17,2,8,1,3,4.47,5.83,7.12,6.14,7.44,6.65,9.49,7.44,0.0,7.44,4.17,0,0,0,1,1,0,5,5,5,5,4,1,6,3,18
6,5,20,19,1,5,0,2,3.58,4.39,6.31,0.0,6.31,6.27,8.21,6.98,0.0,6.98,3.37,0,0,0,0,0,0,3,4,4,3,0,4,6,3,20
5,9,78,17,1,4,0,0,3.93,0.0,0.0,6.55,6.55,0.0,9.15,6.55,0.0,6.55,5.3,0,1,1,0,0,0,3,3,5,3,0,1,1,0,0
4,5,66,66,1,5,0,1,4.17,0.0,5.81,5.71,6.78,5.77,8.77,6.78,0.0,6.78,0.0,0,1,1,0,0,1,3,3,3,3,0,1,2,1,66
5,5,75,75,1,6,0,1,4.26,0.0,6.98,0.0,6.98,5.28,9.37,7.22,0.0,7.22,3.74,0,1,1,0,1,0,3,2,3,3,0,2,3,2,75
4,3,80,75,2,9,0,1,3.93,0.0,0.0,0.0,0.0,5.48,9.04,6.99,6.09,7.33,0.0,0,1,0,0,0,1,3,0,3,3,0,0,0,1,80
5,8,103,75,1,4,0,0,4.04,0.0,0.0,6.76,6.76,0.0,8.31,6.76,0.0,6.76,4.57,0,1,0,1,0,0,3,2,5,3,0,1,1,0,0
3,3,73,73,1,4,0,2,4.32,0.0,0.0,0.0,0.0,6.27,9.23,6.85,0.0,6.85,0.0,0,1,0,0,0,1,3,0,2,2,0,0,0,1,69
5,5,66,66,2,10,0,0,4.19,4.32,0.0,7.43,7.43,0.0,9.3,7.43,0.0,7.43,0.0,0,0,1,0,0,0,3,3,3,3,0,1,1,0,0
5,5,69,69,1,7,1,1,4.26,5.56,6.3,6.41,7.05,5.75,9.37,7.35,0.0,7.35,0.0,0,0,1,0,1,0,3,3,5,3,3,1,3,1,69
4,3,69,69,1,5,0,1,4.32,0.0,0.0,6.51,6.51,5.67,9.1,6.87,0.0,6.87,0.0,0,1,1,0,0,0,3,3,5,3,0,1,1,1,69
6,8,105,25,1,7,0,2,4.22,0.0,0.0,6.53,6.53,6.27,9.42,6.53,6.24,7.09,3.85,0,1,0,0,0,1,3,3,4,4,0,2,1,1,20
5,6,84,75,1,6,2,1,3.83,0.0,6.44,4.55,6.58,5.55,9.01,6.75,6.1,7.17,0.0,0,1,1,0,0,1,3,3,5,3,4,1,3,1,85
5,5,84,65,2,6,0,2,4.11,0.0,6.01,5.06,6.89,6.49,9.31,6.89,6.43,7.38,4.23,0,1,1,0,0,1,3,3,5,3,0,1,2,1,48
5,4,87,75,1,7,2,1,4.26,4.49,6.73,0.0,6.73,5.53,8.75,6.73,6.08,7.15,0.0,0,0,0,1,0,0,3,3,3,3,4,1,2,1,87
5,5,93,25,1,6,0,1,4.03,0.0,5.21,6.42,6.68,5.64,8.41,6.74,6.51,7.33,0.0,0,1,0,0,0,1,3,3,5,3,0,1,3,1,57
2,5,105,75,1,3,0,1,4.11,0.0,5.67,0.0,5.67,5.51,9.04,6.08,0.0,6.08,0.0,0,1,1,0,0,1,3,3,3,2,0,1,3,1,95
6,7,85,75,2,7,1,1,4.11,0.0,0.0,6.66,6.66,5.48,9.2,6.85,6.3,7.31,0.0,0,1,0,0,0,1,3,3,3,3,4,1,1,1,85
7,3,105,55,2,12,2,2,4.63,0.0,6.26,5.71,6.72,6.51,9.67,7.43,6.91,8.03,4.16,0,1,0,0,0,0,3,3,5,3,3,1,6,3,55
6,6,90,75,1,6,1,1,3.78,0.0,0.0,6.37,6.37,5.2,8.65,6.47,6.39,7.13,4.57,0,1,0,0,0,1,3,3,4,3,4,1,1,1,99
4,3,97,75,2,7,2,2,4.19,0.0,6.43,6.22,7.02,6.36,8.96,7.19,6.48,7.59,3.81,0,1,0,0,0,1,3,3,3,4,3,1,4,1,44
6,8,109,25,1,6,1,2,4.17,0.0,0.0,6.71,6.71,6.09,9.06,7.12,0.0,7.12,0.0,0,1,0,0,0,1,4,3,5,4,4,1,1,1,109
6,6,100,35,2,7,1,1,3.95,0.0,5.58,6.57,6.88,5.38,8.73,7.06,6.11,7.38,2.83,0,1,0,0,0,1,3,3,5,4,4,1,4,1,100
7,9,89,18,1,6,0,2,4.11,0.0,5.86,0.0,6.33,6.36,8.88,6.36,6.33,7.04,0.0,0,1,0,1,0,1,4,4,5,4,0,1,5,2,54
6,6,97,75,1,9,1,2,4.06,0.0,0.0,6.8,6.8,5.84,8.93,7.07,6.61,7.56,0.0,0,1,0,0,0,1,3,3,4,3,3,1,1,1,96
