Overall Qual,House Age,Full Bath,Garage Cars,Transformed BsmtFin SF 1,Transformed Total Bsmt SF,Transformed Lot Area,Transformed 1st Flr SF,Transformed Gr Liv Area,Bsmt Qual_encoded,Kitchen Qual_encoded
10,16,2,3,7.27,7.6,9.41,7.61,7.61,5,5
10,17,2,3,7.2,7.45,9.51,7.46,7.74,5,5
10,18,2,3,7.74,7.88,9.52,7.89,7.89,5,5
9,17,3,3,0.0,7.46,9.54,7.46,7.95,5,5
9,17,2,3,0.0,7.46,9.36,7.46,7.46,5,5
8,21,2,3,7.33,7.49,9.73,7.49,7.49,5,4
8,18,2,3,7.12,7.32,10.06,7.32,7.83,5,5
8,19,2,3,0.0,7.44,9.32,7.45,7.45,5,4
9,17,2,3,6.92,7.46,9.25,7.46,7.46,5,5
8,21,2,3,6.99,7.45,9.17,7.45,7.45,5,5
9,19,2,3,6.95,7.32,9.29,7.33,7.33,5,5
9,17,2,3,7.04,7.48,9.51,7.5,7.5,5,5
9,21,2,3,7.07,7.29,9.09,7.29,7.71,5,5
8,21,2,3,6.95,7.52,9.34,7.52,7.52,5,4
8,22,2,3,7.03,8.07,9.27,7.4,7.4,4,4
7,22,2,2,7.14,7.47,9.46,7.47,7.47,4,4
7,16,2,2,0.0,7.32,9.16,7.32,7.32,4,4
10,22,2,3,4.04,7.78,9.51,7.78,7.78,5,5
9,22,2,3,7.59,7.81,9.63,7.81,7.81,5,5
8,22,3,3,0.0,6.99,9.49,7.01,7.78,4,4
8,19,2,3,0.0,7.38,9.18,7.38,7.38,4,4
6,20,2,2,6.73,7.21,8.84,7.21,7.21,4,4
6,20,2,2,6.8,7.18,8.59,7.18,7.18,4,4
6,20,2,2,6.78,7.18,8.54,7.18,7.18,4,4
7,18,2,2,6.78,7.21,9.24,7.21,7.21,4,4
7,18,2,2,6.81,7.18,8.52,7.18,7.18,4,4
10,21,2,3,7.67,7.82,9.6,7.82,7.82,5,5
8,22,2,3,7.35,7.7,9.63,7.7,7.7,5,5
9,17,2,2,6.69,7.54,8.91,7.54,7.54,5,5
9,17,2,2,0.0,7.28,8.78,7.28,7.28,5,5
8,23,2,3,7.09,7.45,9.73,7.45,7.45,5,4
8,19,2,2,6.76,7.19,8.74,7.19,7.19,4,4
7,22,2,2,0.0,7.25,8.16,7.25,7.25,4,4
7,22,2,2,6.34,6.64,7.73,6.64,7.39,4,4
7,20,2,2,0.0,6.59,9.3,6.59,7.28,4,4
6,20,2,2,0.0,6.61,9.1,6.61,7.31,4,4
6,20,2,2,0.0,6.61,9.44,6.61,7.3,4,4
6,20,2,2,0.0,6.53,9.39,6.53,7.35,4,4
7,18,2,3,0.0,7.23,8.21,7.35,7.35,4,4
7,18,2,3,6.9,7.23,8.2,7.36,7.36,4,4
7,20,2,2,2.83,7.23,8.07,7.35,7.35,4,4
7,20,2,2,2.83,7.21,8.07,7.32,7.32,4,4
7,20,2,2,2.83,7.11,8.07,7.11,7.11,4,4
7,20,2,2,2.83,7.04,8.07,7.04,7.04,4,4
7,21,2,2,6.05,6.58,8.96,6.58,7.27,4,4
6,23,2,2,0.0,6.92,9.0,6.92,7.73,4,4
7,21,2,2,0.0,5.95,9.15,6.61,7.23,4,4
7,21,2,2,0.0,6.77,8.99,6.77,7.4,4,4
8,23,2,2,5.87,6.01,8.96,6.66,7.26,4,4
7,21,2,2,0.0,6.74,9.22,6.74,7.37,4,4
7,22,2,2,6.48,6.66,9.1,6.69,7.31,4,4
7,22,2,2,6.2,6.55,9.01,6.55,7.2,4,4
7,18,2,2,6.81,7.18,8.53,7.18,7.18,4,4
7,25,2,2,5.71,6.86,9.08,6.89,7.72,4,4
8,23,2,3,6.48,6.77,9.46,6.78,7.6,5,4
6,25,2,2,6.55,6.9,9.41,6.93,7.63,4,4
7,21,2,2,5.49,5.95,9.18,6.61,7.23,4,4
6,25,2,2,0.0,6.89,9.0,6.92,7.5,4,3
6,25,2,2,6.53,6.68,9.04,6.71,7.32,4,3
7,26,2,2,0.0,5.95,8.96,6.65,7.27,4,3
7,26,2,3,6.82,7.07,9.67,7.11,7.75,4,4
6,26,2,2,0.0,6.74,10.11,6.79,7.42,4,3
7,26,2,2,6.65,6.9,9.08,6.93,7.63,4,4
7,26,2,2,0.0,5.95,8.97,6.65,7.27,3,3
8,26,2,3,7.06,7.13,9.15,7.15,7.77,4,4
8,30,2,3,6.54,7.29,9.63,7.31,7.94,4,5
8,25,2,3,7.07,7.28,9.45,7.29,7.9,4,4
8,27,2,3,6.66,7.16,9.71,7.18,7.8,4,4
8,27,2,3,6.75,7.11,9.41,7.15,7.87,4,4
7,29,2,3,0.0,7.14,9.23,7.15,7.76,4,4
8,31,2,3,5.47,7.61,9.28,7.63,7.63,4,4
7,32,2,3,6.9,7.21,9.2,7.22,7.88,4,4
7,30,2,2,6.71,6.98,9.11,7.0,7.63,4,4
8,32,2,2,6.44,7.07,9.37,7.1,7.71,4,4
8,31,2,3,7.22,7.4,10.75,7.43,7.8,4,4
7,31,2,2,6.39,6.88,10.31,6.89,7.52,4,4
8,17,2,3,0.0,7.29,9.17,7.29,7.29,4,4
8,17,2,3,0.0,7.44,9.32,7.44,7.44,4,4
8,17,2,3,0.0,7.39,9.23,7.41,7.41,4,4
8,17,2,3,0.0,7.36,9.13,7.36,7.36,4,5
8,18,2,3,7.17,7.44,9.22,7.44,7.44,4,4
8,19,2,2,5.94,7.26,9.12,7.27,7.27,5,4
7,20,2,2,5.83,7.02,9.18,7.02,7.59,4,4
9,20,2,3,7.68,7.81,9.32,7.82,7.82,5,5
7,16,2,2,6.71,6.8,9.06,6.84,7.52,4,4
8,17,2,2,0.0,6.65,9.11,6.67,7.37,4,4
6,16,2,2,3.33,7.11,8.97,7.11,7.11,4,4
7,17,2,2,0.0,7.27,8.99,7.27,7.27,5,4
8,16,2,2,6.84,7.17,9.06,7.18,7.18,4,4
7,17,2,2,0.0,7.25,9.06,7.25,7.25,4,4
9,18,2,3,0.0,7.33,9.44,7.33,7.33,4,4
9,16,2,3,7.02,7.48,9.13,7.48,7.48,5,5
8,19,2,2,3.22,7.22,8.92,7.28,7.28,4,4
10,17,2,3,6.64,6.93,9.31,6.93,7.6,5,5
8,19,2,3,6.53,6.8,9.27,6.81,7.49,5,4
8,20,2,3,0.0,6.99,9.27,6.99,7.58,4,4
7,19,2,2,6.7,7.0,9.0,7.01,7.35,4,4
8,17,2,2,0.0,7.52,9.0,7.52,7.52,4,4
7,19,2,3,7.27,7.41,9.27,7.42,7.42,4,5
7,22,2,2,0.0,6.82,9.15,6.82,7.65,4,4
7,21,2,2,6.02,7.11,8.92,7.11,7.11,4,4
7,22,2,2,6.65,7.35,9.08,7.35,7.35,4,4
7,22,2,2,6.02,6.7,9.0,6.7,7.41,4,4
7,18,1,2,0.0,7.11,9.17,7.11,7.11,4,4
7,19,1,2,4.01,7.04,8.92,7.04,7.04,4,4
6,21,1,0,0.0,7.06,8.92,7.06,7.06,4,4
7,21,2,2,0.0,6.73,9.27,6.77,7.5,4,4
8,21,2,3,6.25,7.32,9.22,7.32,7.32,4,4
7,22,2,2,6.73,7.07,9.22,7.09,7.09,4,4
7,21,1,2,0.0,7.02,9.48,7.02,7.02,4,4
5,21,1,0,0.0,7.02,9.48,7.02,7.02,4,4
5,22,2,2,6.73,7.02,9.43,7.02,7.02,4,4
7,17,2,3,0.0,7.28,8.9,7.28,7.28,4,4
7,29,2,2,6.46,6.82,9.35,6.82,7.66,4,4
8,20,2,2,6.88,7.52,9.31,7.52,7.52,4,4
7,24,2,2,3.04,7.28,9.05,7.27,7.27,4,4
6,33,2,2,3.97,6.71,8.95,6.73,7.46,4,4
6,45,1,1,0.0,6.44,9.28,6.44,7.1,4,3
6,35,2,2,0.0,7.2,8.88,7.2,7.2,4,4
7,31,2,2,3.61,6.63,9.12,6.63,7.34,4,4
6,39,2,2,5.81,6.52,9.24,6.55,7.24,4,3
6,44,2,2,0.0,0.0,9.02,6.87,7.54,0,3
4,75,1,1,0.0,6.58,9.04,6.74,6.74,3,3
6,97,1,2,0.0,6.67,9.11,6.67,6.67,2,3
5,63,1,2,4.23,6.89,9.19,6.89,6.89,3,3
5,48,1,2,6.33,6.89,8.86,6.89,6.89,3,3
5,64,1,2,6.49,6.76,9.05,6.76,6.76,3,3
5,64,1,1,6.76,6.76,9.11,6.76,6.76,3,3
5,60,2,1,6.3,6.93,9.14,6.93,6.93,3,3
5,62,1,1,6.44,6.82,8.96,6.82,6.82,3,4
5,64,1,1,6.39,6.76,9.21,7.04,7.04,3,3
5,60,1,1,6.32,6.76,9.02,6.76,6.76,3,3
5,63,1,1,4.95,6.82,8.88,6.82,6.82,3,3
8,45,2,3,7.46,7.61,9.66,7.61,7.61,4,4
7,34,2,2,6.4,6.88,9.39,6.88,7.47,4,4
7,21,2,3,0.0,7.23,7.97,7.23,8.01,4,4
6,16,2,2,0.0,6.42,8.28,6.42,7.11,4,4
6,16,2,2,5.69,6.42,8.01,6.42,7.11,4,4
6,17,2,2,0.0,7.45,8.25,7.45,7.45,4,4
6,17,1,2,6.87,7.04,8.35,7.14,7.14,4,4
6,26,2,2,5.95,6.59,8.08,6.61,7.29,4,3
6,25,2,2,6.23,6.63,8.01,6.63,7.32,4,4
7,26,2,2,6.31,6.54,8.23,6.57,7.28,4,4
8,26,2,2,6.48,6.88,7.88,6.89,7.46,4,4
8,48,2,2,7.13,7.44,9.6,7.44,7.44,4,5
8,44,1,2,6.87,7.11,8.24,7.11,7.11,4,4
7,44,1,2,4.8,7.46,9.64,7.46,7.46,4,4
8,49,2,2,0.0,5.97,9.17,7.31,7.82,3,3
4,49,2,2,7.02,7.16,9.21,7.39,7.39,3,3
6,57,1,2,5.7,6.59,9.37,6.72,7.35,3,3
6,55,2,2,0.0,7.27,9.37,7.27,7.27,3,3
6,57,2,2,0.0,7.31,9.12,7.31,7.31,3,4
7,52,2,2,6.76,7.01,9.25,7.01,7.65,4,3
7,51,2,2,6.33,6.62,9.45,7.16,7.63,3,4
6,53,1,2,6.39,6.58,9.47,6.6,7.24,3,3
6,58,2,2,0.0,6.84,9.25,7.15,7.88,3,4
6,58,1,2,6.27,7.43,9.79,7.45,7.45,4,3
5,56,2,2,6.32,7.16,9.17,7.2,7.2,4,3
6,56,1,1,6.86,7.1,9.11,7.1,7.1,3,3
7,48,1,2,6.07,6.81,9.53,7.18,7.74,4,4
6,48,2,2,6.53,7.21,9.17,7.2,7.2,4,3
7,27,2,2,4.98,7.41,9.22,7.43,7.43,5,4
8,24,2,2,6.47,6.7,9.04,6.7,7.42,4,4
5,58,1,1,6.48,6.76,8.87,6.76,6.76,3,3
5,58,1,2,0.0,7.36,9.17,7.36,7.36,3,3
5,60,1,1,5.83,6.83,9.12,6.83,6.83,3,3
7,51,2,2,6.55,7.06,9.17,7.06,7.63,3,3
6,54,2,2,6.87,7.12,9.71,7.19,7.19,4,3
6,58,2,2,5.53,7.22,9.19,7.2,7.2,3,3
4,65,1,2,6.6,6.8,8.91,6.8,6.8,3,3
5,66,1,1,6.0,6.76,9.0,6.76,6.76,3,3
6,66,1,1,6.42,6.76,9.12,6.76,6.76,3,3
4,68,1,3,6.65,6.95,9.15,7.22,7.22,3,3
5,69,2,2,6.44,6.96,9.51,7.46,7.46,3,3
5,67,2,3,0.0,7.37,9.35,7.48,7.48,3,3
6,61,1,2,5.28,7.32,9.21,7.32,7.32,3,3
5,64,1,2,5.74,7.18,9.14,7.18,7.18,3,4
5,61,1,2,6.91,7.16,9.26,7.16,7.16,3,3
5,59,1,2,6.61,7.05,9.31,7.05,7.05,3,3
5,60,2,2,5.96,6.61,9.1,6.72,7.67,3,3
6,61,1,2,6.34,7.03,9.4,7.28,7.28,3,3
5,66,1,1,6.9,6.95,9.17,6.95,6.95,3,3
6,64,1,2,6.34,7.1,9.35,7.36,7.36,3,4
5,70,1,1,4.62,6.87,9.19,6.87,6.87,3,3
4,85,1,0,5.64,6.04,8.58,6.56,6.56,3,2
5,75,1,1,5.23,6.57,8.86,6.89,7.09,3,4
6,72,1,2,6.93,7.32,9.41,7.32,7.32,3,3
6,58,1,2,7.07,7.43,9.2,7.43,7.43,3,3
6,72,1,2,7.16,7.26,9.17,7.41,7.41,3,3
5,69,1,1,6.22,6.96,9.17,6.96,6.96,3,3
6,75,1,1,4.8,6.75,9.17,7.01,7.42,3,3
5,75,1,1,6.41,7.02,9.17,7.02,7.02,3,4
5,58,2,3,0.0,7.37,9.1,7.37,7.37,3,3
6,64,2,2,7.18,7.28,9.27,7.28,7.28,3,3
6,62,1,2,6.41,7.24,9.16,7.24,7.24,4,3
6,59,2,2,7.24,7.35,9.6,7.36,7.36,3,4
7,60,2,2,6.12,6.65,9.52,7.08,7.59,3,3
6,57,2,1,6.11,6.8,9.47,7.08,7.67,4,4
6,57,1,2,0.0,7.24,9.51,7.24,7.24,2,3
4,105,2,1,0.0,6.57,9.43,7.16,7.46,3,3
5,69,1,1,6.75,7.06,9.08,7.04,7.04,3,3
6,68,1,2,5.25,7.3,9.04,7.3,7.3,3,3
7,65,1,2,6.3,7.19,9.42,7.19,7.19,3,3
6,66,2,1,6.56,6.9,9.13,6.9,6.9,3,4
6,67,2,1,6.43,7.12,9.17,7.4,7.4,3,3
6,67,1,1,6.37,7.1,9.43,7.1,7.1,3,3
5,69,1,1,6.08,7.09,9.08,7.09,7.09,3,3
5,70,1,1,5.15,7.23,9.08,7.23,7.23,3,4
4,69,1,1,5.05,7.09,9.25,7.09,7.09,3,3
6,63,1,2,6.51,7.22,9.87,7.23,7.23,3,3
5,71,1,2,7.1,7.17,9.05,7.17,7.17,3,3
5,67,2,2,0.0,7.53,9.16,7.53,7.53,3,3
6,71,1,1,6.2,6.97,9.0,6.97,6.97,3,3
5,72,1,1,6.06,6.41,9.27,7.19,7.19,3,3
5,74,1,2,5.73,6.45,9.48,7.01,7.01,3,3
4,70,1,2,0.0,6.91,9.25,6.91,6.91,3,2
5,74,1,1,6.48,6.92,9.59,7.22,7.22,3,3
5,80,1,1,6.55,6.68,9.05,6.68,6.68,3,2
5,73,1,1,6.84,6.94,8.94,6.94,6.94,3,4
5,72,1,1,0.0,0.0,9.16,7.1,7.1,0,3
3,125,2,2,6.09,6.89,9.27,6.92,7.44,2,3
7,77,1,2,6.55,6.55,9.34,6.69,7.33,3,3
5,75,1,1,5.97,7.09,9.17,7.09,7.09,3,3
6,77,1,1,6.52,6.88,8.99,6.88,6.88,3,3
3,67,1,1,0.0,6.68,8.61,6.68,6.68,3,3
5,109,2,1,0.0,6.49,9.25,6.7,7.41,2,3
5,86,2,2,0.0,6.52,9.29,6.52,7.21,3,4
4,125,1,1,0.0,6.01,9.01,6.58,6.95,2,3
5,101,1,1,0.0,6.65,9.11,6.68,6.68,3,4
5,100,1,1,0.0,6.96,9.23,6.98,6.98,3,5
4,110,2,2,0.0,7.18,9.25,7.18,7.77,3,4
7,115,2,2,0.0,6.33,8.88,6.84,7.43,3,4
2,85,1,0,0.0,6.03,8.59,6.4,6.4,2,4
4,105,1,1,5.76,6.73,8.59,6.73,7.23,3,3
5,105,1,2,0.0,6.58,9.29,6.74,6.74,3,4
3,135,1,1,0.0,6.45,9.29,6.59,6.59,3,3
6,56,2,3,0.0,7.13,9.18,7.13,7.84,3,3
6,62,1,1,5.95,7.23,9.22,7.23,7.23,3,3
6,58,1,2,6.77,6.95,9.35,6.95,6.95,3,3
5,56,2,4,6.22,7.13,9.36,7.2,7.88,3,3
6,67,1,2,6.61,6.86,8.99,6.86,6.86,3,4
6,68,1,1,6.3,7.01,9.25,7.01,7.01,3,3
5,68,1,1,6.76,6.9,9.07,7.18,7.18,3,3
6,65,2,2,7.15,7.3,9.78,7.3,7.3,3,3
6,67,1,1,0.0,5.08,9.11,7.04,7.04,4,3
5,76,1,1,5.93,6.73,9.4,6.94,7.15,3,3
3,75,2,2,0.0,0.0,9.05,6.95,6.95,0,3
6,75,1,2,6.43,6.68,9.0,6.64,7.03,3,3
4,76,2,2,0.0,0.0,8.88,6.95,6.95,0,3
5,75,1,1,5.2,7.1,8.88,7.04,7.55,3,3
5,67,1,1,0.0,6.95,8.9,6.95,6.95,3,3
5,67,1,1,6.22,6.94,8.93,7.2,7.2,3,3
5,73,1,1,6.45,6.6,8.88,6.6,6.6,3,3
5,66,1,1,6.07,6.27,8.99,7.08,7.08,4,3
5,66,1,1,7.05,7.05,8.98,7.05,7.05,3,3
4,76,2,1,0.0,6.73,9.29,6.73,7.29,3,3
6,77,1,2,4.8,6.76,9.0,6.97,7.31,3,3
6,61,1,2,0.0,6.66,8.93,6.9,7.5,3,3
5,47,1,2,6.85,6.85,9.06,6.85,6.85,4,4
6,62,1,1,6.72,6.95,8.98,6.95,6.95,3,3
5,63,1,1,0.0,6.8,8.79,6.8,6.8,3,3
6,99,1,1,6.15,6.71,8.28,6.71,7.11,3,3
5,115,1,2,0.0,6.09,9.25,6.53,7.12,3,3
6,90,1,1,0.0,6.8,8.31,6.76,7.23,3,4
6,115,2,2,6.45,6.88,9.24,6.88,7.57,3,3
5,84,1,1,0.0,6.52,8.65,6.52,7.03,3,3
5,115,1,2,0.0,5.48,9.66,6.7,7.18,3,4
5,115,2,0,0.0,6.22,9.2,6.64,7.29,3,3
5,86,1,2,6.05,6.54,8.77,6.77,7.35,3,3
5,133,2,1,0.0,6.9,8.79,7.23,7.77,3,3
4,105,2,0,0.0,6.4,8.94,7.0,7.44,2,2
5,73,2,2,0.0,6.87,8.94,6.87,7.58,3,3
7,79,1,1,0.0,6.48,8.13,6.56,7.24,3,3
5,115,1,0,0.0,6.69,9.22,6.69,7.28,2,3
4,72,1,2,0.0,6.84,8.7,6.84,6.84,2,3
5,75,1,1,5.95,6.65,8.7,6.65,7.19,3,3
5,71,2,1,0.0,6.7,8.7,6.7,7.24,3,4
4,105,1,2,0.0,6.76,8.91,6.76,6.76,2,3
2,85,1,1,0.0,0.0,8.69,6.42,6.42,0,3
3,115,1,0,0.0,6.4,8.69,6.4,6.88,3,3
5,87,1,1,0.0,5.25,8.66,6.79,6.79,2,3
5,102,1,1,0.0,6.44,9.05,6.68,6.68,2,3
4,105,2,0,0.0,6.6,8.4,6.6,7.28,3,3
4,115,2,2,0.0,6.52,9.17,6.73,7.32,2,4
5,78,1,1,5.75,6.58,8.16,6.58,7.16,3,3
5,127,2,2,0.0,6.75,9.0,6.98,7.67,3,3
7,145,1,4,0.0,7.12,9.37,7.19,7.88,3,4
6,125,2,1,0.0,6.82,9.04,6.99,7.6,2,5
6,108,1,1,0.0,6.44,8.19,6.5,7.16,3,5
8,143,1,2,5.38,6.82,9.78,6.82,7.46,3,4
4,115,1,0,0.0,6.44,8.1,6.71,6.71,3,3
7,105,1,2,6.44,6.48,9.11,6.73,7.3,3,3
5,115,1,1,5.51,6.93,8.88,6.93,6.93,3,3
5,135,1,2,6.99,6.99,9.08,7.08,7.53,3,3
6,105,1,1,0.0,6.88,8.59,6.95,7.3,3,3
6,115,1,3,0.0,6.61,9.18,6.66,7.33,3,4
4,105,1,0,6.21,6.58,8.97,6.58,6.58,3,3
3,125,1,0,0.0,5.51,9.15,6.68,6.68,2,3
5,102,1,2,7.18,7.19,9.97,6.98,7.36,3,4
6,102,1,1,0.0,6.93,8.8,7.27,7.27,3,4
7,100,2,2,0.0,6.86,8.89,6.86,7.35,3,5
5,95,2,1,0.0,5.7,8.51,6.91,7.41,3,3
6,109,1,1,0.0,6.86,9.09,6.86,6.86,3,2
4,89,1,1,6.51,6.51,8.7,6.63,7.19,3,3
6,88,1,2,0.0,6.55,8.7,6.67,7.07,3,3
5,100,1,1,0.0,6.79,8.7,6.79,7.21,3,3
6,86,1,1,0.0,6.66,8.7,6.72,7.25,3,3
5,101,1,1,5.4,6.15,8.7,6.71,7.04,3,3
6,99,1,1,0.0,6.79,8.7,6.81,6.81,3,3
5,101,1,2,6.01,7.04,8.84,7.17,7.17,3,2
5,89,1,2,0.0,6.83,8.72,6.97,7.34,3,3
4,90,1,1,0.0,6.79,8.72,6.9,7.36,3,4
2,89,1,0,0.0,5.58,8.72,6.69,6.69,3,2
5,94,1,1,5.35,6.57,8.72,6.78,6.78,3,3
5,100,1,1,0.0,6.87,8.72,6.9,6.9,3,3
5,87,2,1,5.61,6.86,8.72,6.9,7.37,3,3
5,100,1,5,4.91,6.98,9.06,6.98,6.98,3,3
6,109,2,2,0.0,6.74,9.38,7.28,7.67,3,4
7,115,1,2,0.0,6.59,9.34,7.04,7.61,4,4
6,110,2,2,0.0,6.96,9.0,6.96,7.48,3,3
7,110,1,1,5.7,6.81,7.82,6.82,7.51,3,5
7,110,2,1,0.0,6.51,9.2,7.15,7.57,3,3
6,113,1,0,0.0,6.63,8.62,6.84,7.71,3,3
5,103,2,0,0.0,6.95,8.01,6.99,7.66,3,3
6,98,2,1,6.26,6.58,8.84,7.04,7.57,3,3
4,100,1,2,5.03,6.66,8.74,6.74,7.1,3,3
6,110,1,1,0.0,6.18,8.66,6.61,7.26,3,4
7,123,2,0,5.14,6.93,8.67,6.89,7.53,3,3
6,98,1,1,0.0,7.09,8.55,7.09,7.42,3,3
4,102,1,0,6.62,6.76,8.55,6.79,6.79,4,4
6,110,1,1,5.62,6.55,9.24,6.63,7.25,3,3
4,79,1,1,0.0,6.33,8.36,6.56,6.56,2,2
5,38,3,0,7.09,7.09,9.29,7.09,7.09,4,3
5,38,3,0,7.09,7.09,9.29,7.09,7.09,4,3
5,47,2,1,7.05,7.05,9.26,7.05,7.05,4,3
1,103,0,0,5.86,6.53,9.21,6.81,6.81,2,2
6,100,2,1,6.31,6.51,8.8,6.55,7.22,3,3
5,91,2,1,0.0,6.37,9.19,6.53,7.01,3,3
5,62,2,2,6.1,6.26,9.46,7.29,7.29,4,3
5,62,1,2,6.48,7.02,9.08,7.02,7.02,3,3
6,47,2,2,5.42,6.82,9.32,6.82,7.43,3,3
5,58,1,1,6.27,6.96,9.36,6.96,6.96,3,3
5,58,1,1,6.11,6.76,8.96,6.8,6.8,3,4
6,47,1,2,6.12,6.12,8.99,6.94,6.94,4,3
5,43,1,2,6.53,6.76,8.89,6.76,6.76,4,3
5,43,1,2,6.51,6.73,9.08,6.76,6.76,3,3
5,63,1,1,5.14,7.0,9.36,7.0,7.0,3,3
5,64,2,1,0.0,6.32,9.64,6.81,7.48,3,3
6,65,1,2,6.38,7.04,9.64,7.04,7.04,3,3
5,69,1,1,0.0,6.72,9.65,7.64,7.64,3,3
2,78,1,0,0.0,0.0,9.11,6.49,6.49,0,2
4,68,1,1,0.0,7.01,9.33,7.01,7.49,3,3
5,57,1,1,7.19,7.27,10.13,7.3,7.3,3,5
4,69,1,1,6.97,7.03,9.75,7.11,7.11,3,3
4,85,1,2,5.57,6.76,9.42,6.76,6.76,3,3
5,70,1,1,5.94,7.39,9.28,7.53,7.53,3,3
3,70,2,2,0.0,0.0,9.52,7.46,7.46,0,3
4,71,1,2,0.0,0.0,9.66,7.23,7.23,0,3
6,69,1,2,0.0,7.27,9.2,7.43,7.43,3,3
5,69,1,1,5.55,6.98,9.17,6.98,6.98,3,3
5,67,1,1,0.0,7.15,9.17,7.15,7.15,3,3
6,79,1,1,5.84,6.62,9.14,6.79,7.4,3,4
4,84,1,1,5.84,6.51,9.14,6.51,6.51,3,3
5,71,1,1,5.16,6.99,8.91,6.99,6.99,4,3
4,68,1,1,0.0,0.0,9.35,6.74,6.74,0,3
5,41,2,1,6.32,6.96,8.35,6.96,6.96,4,4
5,76,1,1,5.68,6.65,9.34,7.05,7.45,3,3
6,86,1,1,5.32,6.33,9.11,6.55,7.14,3,3
4,85,1,1,0.0,6.63,9.11,6.63,7.32,3,3
7,35,1,2,6.13,6.96,9.29,6.97,6.97,4,4
6,42,1,2,4.26,6.26,9.87,7.2,7.2,4,4
8,42,1,2,7.27,7.31,9.42,7.31,7.67,4,4
7,35,2,3,6.19,7.68,9.59,7.69,7.69,4,4
7,32,2,2,6.24,6.61,9.14,6.91,7.48,4,4
7,32,2,2,6.16,6.98,9.26,6.98,7.54,4,4
8,30,2,2,6.37,7.03,9.19,7.04,7.61,4,4
5,145,1,2,0.0,0.0,10.18,7.16,7.61,0,3
5,46,2,2,0.0,0.0,8.86,7.34,7.34,0,3
5,46,0,2,6.99,6.99,8.86,7.11,7.11,4,3
5,46,2,2,0.0,0.0,8.86,7.02,7.71,0,3
5,46,2,2,0.0,0.0,8.86,7.34,7.34,0,3
5,46,2,2,0.0,0.0,8.86,7.34,7.34,0,3
5,46,2,2,0.0,0.0,8.86,7.02,7.71,0,3
5,46,0,2,7.0,7.0,8.86,7.11,7.11,4,4
5,46,2,2,0.0,0.0,8.85,7.32,7.32,0,3
7,25,4,4,6.71,7.06,9.38,7.06,7.93,5,3
7,25,4,4,6.71,7.06,8.98,7.06,7.93,5,3
7,25,4,4,6.71,7.06,8.98,7.06,7.93,5,3
9,16,1,3,6.93,7.35,9.3,7.43,7.43,5,5
8,18,2,3,7.16,7.44,9.27,7.45,7.45,5,4
8,17,2,3,0.0,7.39,9.23,7.4,7.4,5,5
9,17,2,3,7.01,7.45,9.29,7.45,7.45,5,5
8,17,2,3,0.0,7.29,9.12,7.29,7.29,4,4
8,18,2,2,3.04,6.77,9.28,6.77,7.48,4,4
8,18,2,2,7.22,7.52,9.34,7.52,7.52,5,4
9,18,2,2,0.0,7.5,9.39,7.5,7.5,5,5
7,19,2,2,7.2,7.38,9.08,7.38,7.38,4,4
7,18,2,2,6.81,7.16,8.82,7.16,7.16,4,4
8,17,2,3,6.77,7.13,9.24,7.13,7.13,4,4
7,18,2,2,6.59,7.12,8.9,7.12,7.12,4,4
8,20,2,3,3.22,7.31,9.36,7.31,7.31,5,4
6,20,2,2,0.0,6.56,9.36,6.56,7.26,4,4
7,36,2,2,7.33,7.33,9.46,7.41,7.41,4,4
7,33,2,2,6.69,7.28,9.72,6.85,7.47,4,4
5,58,2,2,5.52,6.92,10.26,7.06,7.66,3,3
5,29,1,2,6.6,6.95,9.43,6.95,6.95,4,4
5,31,1,1,6.63,6.9,9.19,6.9,6.9,3,3
6,28,2,2,6.71,6.83,9.64,6.83,7.48,4,4
7,29,2,2,5.96,6.68,9.28,6.72,7.42,4,4
7,27,2,2,6.86,7.29,9.6,7.29,7.29,4,3
5,31,1,2,0.0,7.0,9.29,7.0,7.0,4,3
5,31,1,2,6.62,6.9,9.0,6.9,6.9,4,3
7,27,2,2,0.0,6.77,9.25,6.77,7.48,4,4
7,26,2,2,6.52,7.31,9.24,7.31,7.31,4,4
7,26,2,2,6.33,7.27,9.11,7.27,7.27,4,4
6,27,2,2,6.41,6.83,9.08,6.83,7.48,4,3
7,23,2,2,0.0,6.72,9.1,6.72,7.42,4,4
7,23,2,2,6.67,7.36,9.19,7.36,7.36,4,4
7,24,2,2,6.5,6.85,9.43,6.85,7.52,4,4
7,24,2,2,0.0,7.25,9.7,7.27,7.27,4,4
7,23,2,2,7.14,7.27,9.28,7.28,7.28,4,4
7,24,2,2,3.22,7.31,9.32,7.31,7.31,4,4
5,47,2,0,6.42,6.95,9.04,6.95,6.95,4,3
5,47,1,1,6.44,6.81,9.7,6.81,6.81,4,3
5,46,1,2,6.57,6.82,8.85,6.82,6.82,3,3
5,48,2,2,6.28,6.95,9.08,6.95,6.95,4,4
5,47,1,1,6.47,6.76,8.85,6.76,6.76,3,3
5,48,1,1,5.28,7.15,9.14,7.15,7.15,4,4
5,53,1,1,6.13,6.76,9.65,6.76,6.76,3,3
5,53,1,2,6.66,6.8,8.88,6.8,6.8,3,3
5,53,1,1,6.49,6.65,8.88,6.65,6.65,4,3
5,53,1,2,6.49,6.65,9.04,6.65,6.65,4,3
7,23,2,3,7.12,7.36,9.36,7.39,7.39,4,4
